21612 usec, 9280 usec
4240 usec, 840 usec
280 usec, 820 usec
300 usec, 780 usec
340 usec, 760 usec
360 usec, 720 usec
420 usec, 680 usec
420 usec, 700 usec
440 usec, 680 usec
440 usec, 660 usec
1580 usec, 660 usec
1560 usec, 660 usec
1600 usec, 640 usec
1600 usec, 640 usec
1580 usec, 640 usec
1620 usec, 620 usec
1620 usec, 600 usec
1660 usec, 580 usec
540 usec, 580 usec
1660 usec, 580 usec
540 usec, 580 usec
1660 usec, 580 usec
1660 usec, 580 usec
540 usec, 580 usec
540 usec, 580 usec
540 usec, 580 usec
1660 usec, 580 usec
540 usec, 560 usec
1660 usec, 600 usec
540 usec, 560 usec
540 usec, 600 usec
1660 usec, 560 usec
1660 usec, 600 usec
1660 usec, 580 usec
